Kandidat, Spørgsmål, Svar
Christel Schaldemose, 1, 4
Christel Schaldemose, 2, 2
Christel Schaldemose, 3, 3
Christel Schaldemose, 4, 4
Christel Schaldemose, 5, 3
Christel Schaldemose, 6, 3
Christel Schaldemose, 7, 2
Christel Schaldemose, 8, 3
Christel Schaldemose, 9, 1
Christel Schaldemose, 10, 3
Christel Schaldemose, 11, 1
Christel Schaldemose, 12, 3
Christel Schaldemose, 13, 4
Christel Schaldemose, 14, 1
Christel Schaldemose, 15, 4
Christel Schaldemose, 16, 3
Christel Schaldemose, 17, 4
Christel Schaldemose, 18, 2
Christel Schaldemose, 19, 4
Christel Schaldemose, 20, 3
Christel Schaldemose, 21, 4
Christel Schaldemose, 22, 2
Christel Schaldemose, 23, 3
Christel Schaldemose, 24, 3
Christel Schaldemose, 25, 2
Niels Fuglsang, 1, 4
Niels Fuglsang, 2, 2
Niels Fuglsang, 3, 3
Niels Fuglsang, 4, 4
Niels Fuglsang, 5, 3
Niels Fuglsang, 6, 3
Niels Fuglsang, 7, 2
Niels Fuglsang, 8, 4
Niels Fuglsang, 9, 1
Niels Fuglsang, 10, 3
Niels Fuglsang, 11, 2
Niels Fuglsang, 12, 3
Niels Fuglsang, 13, 4
Niels Fuglsang, 14, 2
Niels Fuglsang, 15, 4
Niels Fuglsang, 16, 3
Niels Fuglsang, 17, 4
Niels Fuglsang, 18, 1
Niels Fuglsang, 19, 4
Niels Fuglsang, 20, 4
Niels Fuglsang, 21, 4
Niels Fuglsang, 22, 2
Niels Fuglsang, 23, 2
Niels Fuglsang, 24, 3
Niels Fuglsang, 25, 3
Marianne Vind, 1, 3
Marianne Vind, 2, 2
Marianne Vind, 3, 4
Marianne Vind, 4, 3
Marianne Vind, 5, 3
Marianne Vind, 6, 3
Marianne Vind, 7, 1
Marianne Vind, 8, 3
Marianne Vind, 9, 1
Marianne Vind, 10, 4
Marianne Vind, 11, 1
Marianne Vind, 12, 3
Marianne Vind, 13, 4
Marianne Vind, 14, 3
Marianne Vind, 15, 4
Marianne Vind, 16, 3
Marianne Vind, 17, 4
Marianne Vind, 18, 2
Marianne Vind, 19, 4
Marianne Vind, 20, 3
Marianne Vind, 21, 4
Marianne Vind, 22, 2
Marianne Vind, 23, 3
Marianne Vind, 24, 4
Marianne Vind, 25, 2
Magnus Barsøe, 1, 4
Magnus Barsøe, 2, 2
Magnus Barsøe, 3, 4
Magnus Barsøe, 4, 4
Magnus Barsøe, 5, 3
Magnus Barsøe, 6, 3
Magnus Barsøe, 7, 3
Magnus Barsøe, 8, 4
Magnus Barsøe, 9, 1
Magnus Barsøe, 10, 2
Magnus Barsøe, 11, 1
Magnus Barsøe, 12, 4
Magnus Barsøe, 13, 4
Magnus Barsøe, 14, 1
Magnus Barsøe, 15, 4
Magnus Barsøe, 16, 3
Magnus Barsøe, 17, 4
Magnus Barsøe, 18, 1
Magnus Barsøe, 19, 4
Magnus Barsøe, 20, 4
Magnus Barsøe, 21, 4
Magnus Barsøe, 22, 3
Magnus Barsøe, 23, 3
Magnus Barsøe, 24, 3
Magnus Barsøe, 25, 3
Asser Mortensen, 1, 4
Asser Mortensen, 2, 2
Asser Mortensen, 3, 3
Asser Mortensen, 4, 4
Asser Mortensen, 5, 3
Asser Mortensen, 6, 2
Asser Mortensen, 7, 2
Asser Mortensen, 8, 3
Asser Mortensen, 9, 1
Asser Mortensen, 10, 4
Asser Mortensen, 11, 2
Asser Mortensen, 12, 4
Asser Mortensen, 13, 3
Asser Mortensen, 14, 1
Asser Mortensen, 15, 4
Asser Mortensen, 16, 3
Asser Mortensen, 17, 3
Asser Mortensen, 18, 3
Asser Mortensen, 19, 3
Asser Mortensen, 20, 2
Asser Mortensen, 21, 4
Asser Mortensen, 22, 2
Asser Mortensen, 23, 3
Asser Mortensen, 24, 4
Asser Mortensen, 25, 3
Mathias Niebuhr, 1, 4
Mathias Niebuhr, 2, 2
Mathias Niebuhr, 3, 3
Mathias Niebuhr, 4, 4
Mathias Niebuhr, 5, 3
Mathias Niebuhr, 6, 3
Mathias Niebuhr, 7, 3
Mathias Niebuhr, 8, 4
Mathias Niebuhr, 9, 1
Mathias Niebuhr, 10, 2
Mathias Niebuhr, 11, 1
Mathias Niebuhr, 12, 3
Mathias Niebuhr, 13, 3
Mathias Niebuhr, 14, 1
Mathias Niebuhr, 15, 4
Mathias Niebuhr, 16, 3
Mathias Niebuhr, 17, 4
Mathias Niebuhr, 18, 1
Mathias Niebuhr, 19, 4
Mathias Niebuhr, 20, 3
Mathias Niebuhr, 21, 4
Mathias Niebuhr, 22, 2
Mathias Niebuhr, 23, 4
Mathias Niebuhr, 24, 3
Mathias Niebuhr, 25, 3
Niels Christian Dahl, 1, 4
Niels Christian Dahl, 2, 1
Niels Christian Dahl, 3, 4
Niels Christian Dahl, 4, 4
Niels Christian Dahl, 5, 4
Niels Christian Dahl, 6, 2
Niels Christian Dahl, 7, 3
Niels Christian Dahl, 8, 4
Niels Christian Dahl, 9, 1
Niels Christian Dahl, 10, 4
Niels Christian Dahl, 11, 4
Niels Christian Dahl, 12, 4
Niels Christian Dahl, 13, 3
Niels Christian Dahl, 14, 1
Niels Christian Dahl, 15, 2
Niels Christian Dahl, 16, 2
Niels Christian Dahl, 17, 4
Niels Christian Dahl, 18, 3
Niels Christian Dahl, 19, 4
Niels Christian Dahl, 20, 3
Niels Christian Dahl, 21, 4
Niels Christian Dahl, 22, 3
Niels Christian Dahl, 23, 1
Niels Christian Dahl, 24, 4
Niels Christian Dahl, 25, 3
Andi Helbo Sejersen, 1, 4
Andi Helbo Sejersen, 2, 1
Andi Helbo Sejersen, 3, 4
Andi Helbo Sejersen, 4, 4
Andi Helbo Sejersen, 5, 2
Andi Helbo Sejersen, 6, 2
Andi Helbo Sejersen, 7, 1
Andi Helbo Sejersen, 8, 4
Andi Helbo Sejersen, 9, 1
Andi Helbo Sejersen, 10, 3
Andi Helbo Sejersen, 11, 2
Andi Helbo Sejersen, 12, 4
Andi Helbo Sejersen, 13, 3
Andi Helbo Sejersen, 14, 2
Andi Helbo Sejersen, 15, 4
Andi Helbo Sejersen, 16, 4
Andi Helbo Sejersen, 17, 4
Andi Helbo Sejersen, 18, 2
Andi Helbo Sejersen, 19, 4
Andi Helbo Sejersen, 20, 4
Andi Helbo Sejersen, 21, 4
Andi Helbo Sejersen, 22, 4
Andi Helbo Sejersen, 23, 3
Andi Helbo Sejersen, 24, 2
Andi Helbo Sejersen, 25, 4
Tayo Lill Andreasen, 1, 4
Tayo Lill Andreasen, 2, 1
Tayo Lill Andreasen, 3, 3
Tayo Lill Andreasen, 4, 4
Tayo Lill Andreasen, 5, 4
Tayo Lill Andreasen, 6, 3
Tayo Lill Andreasen, 7, 3
Tayo Lill Andreasen, 8, 4
Tayo Lill Andreasen, 9, 1
Tayo Lill Andreasen, 10, 3
Tayo Lill Andreasen, 11, 4
Tayo Lill Andreasen, 12, 4
Tayo Lill Andreasen, 13, 3
Tayo Lill Andreasen, 14, 1
Tayo Lill Andreasen, 15, 1
Tayo Lill Andreasen, 16, 4
Tayo Lill Andreasen, 17, 2
Tayo Lill Andreasen, 18, 2
Tayo Lill Andreasen, 19, 4
Tayo Lill Andreasen, 20, 4
Tayo Lill Andreasen, 21, 4
Tayo Lill Andreasen, 22, 4
Tayo Lill Andreasen, 23, 2
Tayo Lill Andreasen, 24, 4
Tayo Lill Andreasen, 25, 4
Maria Radoor, 1, 4
