Parti, Kandidat, Spørgsmål, Svar
A, Christel Schaldemose, 1, 4
A, Christel Schaldemose, 2, 2
A, Christel Schaldemose, 3, 3
A, Christel Schaldemose, 4, 4
A, Christel Schaldemose, 5, 3
A, Christel Schaldemose, 6, 3
A, Christel Schaldemose, 7, 2
A, Christel Schaldemose, 8, 3
A, Christel Schaldemose, 9, 1
A, Christel Schaldemose, 10, 3
A, Christel Schaldemose, 11, 1
A, Christel Schaldemose, 12, 3
A, Christel Schaldemose, 13, 4
A, Christel Schaldemose, 14, 1
A, Christel Schaldemose, 15, 4
A, Christel Schaldemose, 16, 3
A, Christel Schaldemose, 17, 4
A, Christel Schaldemose, 18, 2
A, Christel Schaldemose, 19, 4
A, Christel Schaldemose, 20, 3
A, Christel Schaldemose, 21, 4
A, Christel Schaldemose, 22, 2
A, Christel Schaldemose, 23, 3
A, Christel Schaldemose, 24, 3
A, Christel Schaldemose, 25, 2
A, Niels Fuglsang, 1, 4
A, Niels Fuglsang, 2, 2
A, Niels Fuglsang, 3, 3
A, Niels Fuglsang, 4, 4
A, Niels Fuglsang, 5, 3
A, Niels Fuglsang, 6, 3
A, Niels Fuglsang, 7, 2
A, Niels Fuglsang, 8, 4
A, Niels Fuglsang, 9, 1
A, Niels Fuglsang, 10, 3
A, Niels Fuglsang, 11, 2
A, Niels Fuglsang, 12, 3
A, Niels Fuglsang, 13, 4
A, Niels Fuglsang, 14, 2
A, Niels Fuglsang, 15, 4
A, Niels Fuglsang, 16, 3
A, Niels Fuglsang, 17, 4
A, Niels Fuglsang, 18, 1
A, Niels Fuglsang, 19, 4
A, Niels Fuglsang, 20, 4
A, Niels Fuglsang, 21, 4
A, Niels Fuglsang, 22, 2
A, Niels Fuglsang, 23, 2
A, Niels Fuglsang, 24, 3
A, Niels Fuglsang, 25, 3
A, Marianne Vind, 1, 3
A, Marianne Vind, 2, 2
A, Marianne Vind, 3, 4
A, Marianne Vind, 4, 3
A, Marianne Vind, 5, 3
A, Marianne Vind, 6, 3
A, Marianne Vind, 7, 1
A, Marianne Vind, 8, 3
A, Marianne Vind, 9, 1
A, Marianne Vind, 10, 4
A, Marianne Vind, 11, 1
A, Marianne Vind, 12, 3
A, Marianne Vind, 13, 4
A, Marianne Vind, 14, 3
A, Marianne Vind, 15, 4
A, Marianne Vind, 16, 3
A, Marianne Vind, 17, 4
A, Marianne Vind, 18, 2
A, Marianne Vind, 19, 4
A, Marianne Vind, 20, 3
A, Marianne Vind, 21, 4
A, Marianne Vind, 22, 2
A, Marianne Vind, 23, 3
A, Marianne Vind, 24, 4
A, Marianne Vind, 25, 2
A, Magnus Barsøe, 1, 4
A, Magnus Barsøe, 2, 2
A, Magnus Barsøe, 3, 4
A, Magnus Barsøe, 4, 4
A, Magnus Barsøe, 5, 3
A, Magnus Barsøe, 6, 3
A, Magnus Barsøe, 7, 3
A, Magnus Barsøe, 8, 4
A, Magnus Barsøe, 9, 1
A, Magnus Barsøe, 10, 2
A, Magnus Barsøe, 11, 1
A, Magnus Barsøe, 12, 4
A, Magnus Barsøe, 13, 4
A, Magnus Barsøe, 14, 1
A, Magnus Barsøe, 15, 4
A, Magnus Barsøe, 16, 3
A, Magnus Barsøe, 17, 4
A, Magnus Barsøe, 18, 1
A, Magnus Barsøe, 19, 4
A, Magnus Barsøe, 20, 4
A, Magnus Barsøe, 21, 4
A, Magnus Barsøe, 22, 3
A, Magnus Barsøe, 23, 3
A, Magnus Barsøe, 24, 3
A, Magnus Barsøe, 25, 3
A, Asser Mortensen, 1, 4
A, Asser Mortensen, 2, 2
A, Asser Mortensen, 3, 3
A, Asser Mortensen, 4, 4
A, Asser Mortensen, 5, 3
A, Asser Mortensen, 6, 2
A, Asser Mortensen, 7, 2
A, Asser Mortensen, 8, 3
A, Asser Mortensen, 9, 1
A, Asser Mortensen, 10, 4
A, Asser Mortensen, 11, 2
A, Asser Mortensen, 12, 4
A, Asser Mortensen, 13, 3
A, Asser Mortensen, 14, 1
A, Asser Mortensen, 15, 4
A, Asser Mortensen, 16, 3
A, Asser Mortensen, 17, 3
A, Asser Mortensen, 18, 3
A, Asser Mortensen, 19, 3
A, Asser Mortensen, 20, 2
A, Asser Mortensen, 21, 4
A, Asser Mortensen, 22, 2
A, Asser Mortensen, 23, 3
A, Asser Mortensen, 24, 4
A, Asser Mortensen, 25, 3
A, Mathias Niebuhr, 1, 4
A, Mathias Niebuhr, 2, 2
A, Mathias Niebuhr, 3, 3
A, Mathias Niebuhr, 4, 4
A, Mathias Niebuhr, 5, 3
A, Mathias Niebuhr, 6, 3
A, Mathias Niebuhr, 7, 3
A, Mathias Niebuhr, 8, 4
A, Mathias Niebuhr, 9, 1
A, Mathias Niebuhr, 10, 2
A, Mathias Niebuhr, 11, 1
A, Mathias Niebuhr, 12, 3
A, Mathias Niebuhr, 13, 3
A, Mathias Niebuhr, 14, 1
A, Mathias Niebuhr, 15, 4
A, Mathias Niebuhr, 16, 3
A, Mathias Niebuhr, 17, 4
A, Mathias Niebuhr, 18, 1
A, Mathias Niebuhr, 19, 4
A, Mathias Niebuhr, 20, 3
A, Mathias Niebuhr, 21, 4
A, Mathias Niebuhr, 22, 2
A, Mathias Niebuhr, 23, 4
A, Mathias Niebuhr, 24, 3
A, Mathias Niebuhr, 25, 3
A, Niels Christian Dahl, 1, 4
A, Niels Christian Dahl, 2, 1
A, Niels Christian Dahl, 3, 4
A, Niels Christian Dahl, 4, 4
A, Niels Christian Dahl, 5, 4
A, Niels Christian Dahl, 6, 2
A, Niels Christian Dahl, 7, 3
A, Niels Christian Dahl, 8, 4
A, Niels Christian Dahl, 9, 1
A, Niels Christian Dahl, 10, 4
A, Niels Christian Dahl, 11, 4
A, Niels Christian Dahl, 12, 4
A, Niels Christian Dahl, 13, 3
A, Niels Christian Dahl, 14, 1
A, Niels Christian Dahl, 15, 2
A, Niels Christian Dahl, 16, 2
A, Niels Christian Dahl, 17, 4
A, Niels Christian Dahl, 18, 3
A, Niels Christian Dahl, 19, 4
A, Niels Christian Dahl, 20, 3
A, Niels Christian Dahl, 21, 4
A, Niels Christian Dahl, 22, 3
A, Niels Christian Dahl, 23, 1
A, Niels Christian Dahl, 24, 4
A, Niels Christian Dahl, 25, 3
A, Andi Helbo Sejersen, 1, 4
A, Andi Helbo Sejersen, 2, 1
A, Andi Helbo Sejersen, 3, 4
A, Andi Helbo Sejersen, 4, 4
A, Andi Helbo Sejersen, 5, 2
A, Andi Helbo Sejersen, 6, 2
A, Andi Helbo Sejersen, 7, 1
A, Andi Helbo Sejersen, 8, 4
A, Andi Helbo Sejersen, 9, 1
A, Andi Helbo Sejersen, 10, 3
A, Andi Helbo Sejersen, 11, 2
A, Andi Helbo Sejersen, 12, 4
A, Andi Helbo Sejersen, 13, 3
A, Andi Helbo Sejersen, 14, 2
A, Andi Helbo Sejersen, 15, 4
A, Andi Helbo Sejersen, 16, 4
A, Andi Helbo Sejersen, 17, 4
A, Andi Helbo Sejersen, 18, 2
A, Andi Helbo Sejersen, 19, 4
A, Andi Helbo Sejersen, 20, 4
A, Andi Helbo Sejersen, 21, 4
A, Andi Helbo Sejersen, 22, 4
A, Andi Helbo Sejersen, 23, 3
A, Andi Helbo Sejersen, 24, 2
A, Andi Helbo Sejersen, 25, 4
A, Tayo Lill Andreasen, 1, 4
A, Tayo Lill Andreasen, 2, 1
A, Tayo Lill Andreasen, 3, 3
A, Tayo Lill Andreasen, 4, 4
A, Tayo Lill Andreasen, 5, 4
A, Tayo Lill Andreasen, 6, 3
A, Tayo Lill Andreasen, 7, 3
A, Tayo Lill Andreasen, 8, 4
A, Tayo Lill Andreasen, 9, 1
A, Tayo Lill Andreasen, 10, 3
A, Tayo Lill Andreasen, 11, 4
A, Tayo Lill Andreasen, 12, 4
A, Tayo Lill Andreasen, 13, 3
A, Tayo Lill Andreasen, 14, 1
A, Tayo Lill Andreasen, 15, 1
A, Tayo Lill Andreasen, 16, 4
A, Tayo Lill Andreasen, 17, 2
A, Tayo Lill Andreasen, 18, 2
A, Tayo Lill Andreasen, 19, 4
A, Tayo Lill Andreasen, 20, 4
A, Tayo Lill Andreasen, 21, 4
A, Tayo Lill Andreasen, 22, 4
A, Tayo Lill Andreasen, 23, 2
A, Tayo Lill Andreasen, 24, 4
A, Tayo Lill Andreasen, 25, 4
A, Maria Radoor, 1, 4
A, Maria Radoor, 2, 2
A, Maria Radoor, 3, 4
A, Maria Radoor, 4, 4
A, Maria Radoor, 5, 3
A, Maria Radoor, 6, 2
A, Maria Radoor, 7, 2
A, Maria Radoor, 8, 3
A, Maria Radoor, 9, 1
A, Maria Radoor, 10, 3
A, Maria Radoor, 11, 1
A, Maria Radoor, 12, 3
A, Maria Radoor, 13, 3
A, Maria Radoor, 14, 1
A, Maria Radoor, 15, 3
A, Maria Radoor, 16, 3
A, Maria Radoor, 17, 4
A, Maria Radoor, 18, 2
A, Maria Radoor, 19, 4
A, Maria Radoor, 20, 3
A, Maria Radoor, 21, 3
A, Maria Radoor, 22, 2
A, Maria Radoor, 23, 3
A, Maria Radoor, 24, 3
A, Maria Radoor, 25, 2
B, Sigrid Friis, 1, 4
B, Sigrid Friis, 2, 1
B, Sigrid Friis, 3, 3
B, Sigrid Friis, 4, 4
B, Sigrid Friis, 5, 4
B, Sigrid Friis, 6, 4
B, Sigrid Friis, 7, 3
B, Sigrid Friis, 8, 3
B, Sigrid Friis, 9, 1
B, Sigrid Friis, 10, 2
B, Sigrid Friis, 11, 3
B, Sigrid Friis, 12, 3
B, Sigrid Friis, 13, 2
B, Sigrid Friis, 14, 1
B, Sigrid Friis, 15, 3
B, Sigrid Friis, 16, 3
B, Sigrid Friis, 17, 4
B, Sigrid Friis, 18, 2
B, Sigrid Friis, 19, 3
B, Sigrid Friis, 20, 4
B, Sigrid Friis, 21, 4
B, Sigrid Friis, 22, 3
B, Sigrid Friis, 23, 3
B, Sigrid Friis, 24, 2
B, Sigrid Friis, 25, 4
B, Anne Sophie Callesen, 1, 4
B, Anne Sophie Callesen, 2, 1
B, Anne Sophie Callesen, 3, 3
B, Anne Sophie Callesen, 4, 4
B, Anne Sophie Callesen, 5, 4
B, Anne Sophie Callesen, 6, 4
B, Anne Sophie Callesen, 7, 2
B, Anne Sophie Callesen, 8, 4
B, Anne Sophie Callesen, 9, 1
B, Anne Sophie Callesen, 10, 2
B, Anne Sophie Callesen, 11, 3
B, Anne Sophie Callesen, 12, 3
B, Anne Sophie Callesen, 13, 1
B, Anne Sophie Callesen, 14, 1
B, Anne Sophie Callesen, 15, 3
B, Anne Sophie Callesen, 16, 4
B, Anne Sophie Callesen, 17, 4
B, Anne Sophie Callesen, 18, 2
B, Anne Sophie Callesen, 19, 2
B, Anne Sophie Callesen, 20, 4
B, Anne Sophie Callesen, 21, 4
B, Anne Sophie Callesen, 22, 3
B, Anne Sophie Callesen, 23, 3
B, Anne Sophie Callesen, 24, 2
B, Anne Sophie Callesen, 25, 4
B, Philip Tarning-Andersen, 1, 4
B, Philip Tarning-Andersen, 2, 1
B, Philip Tarning-Andersen, 3, 3
B, Philip Tarning-Andersen, 4, 4
B, Philip Tarning-Andersen, 5, 4
B, Philip Tarning-Andersen, 6, 3
